player_name,recent_team
A.Brown,BAL
A.Dalton,CAR
A.Rodgers,NYJ
B.Allen,SF
B.Gabbert,KC
B.Hoyer,LV
B.Mayfield,TB
B.Purdy,SF
B.Rypien,LA
B.Zappe,NE
C.Beathard,JAX
C.Keenum,HOU
C.McCoy,ARI
C.Rush,DAL
C.Streveler,NYJ
D.Blough,ARI
D.Carr,NO
D.Jones,NYG
D.Mills,HOU
D.Prescott,DAL
D.Ridder,ATL
D.Watson,CLE
G.Minshew,IND
G.Smith,SEA
J.Allen,BUF
J.Brissett,WAS
J.Burrow,CIN
J.Dobbs,CLE
J.Driskel,ARI
J.Fields,CHI
J.Garoppolo,LV
J.Goff,DET
J.Herbert,LAC
J.Hurts,PHI
J.Johnson,BAL
J.Love,GB
J.Stidham,DEN
J.Winston,NO
J.Wolford,TB
K.Allen,BUF
K.Cousins,MIN
K.Murray,ARI
K.Pickett,PIT
K.Trask,TB
L.Jackson,BAL
M.Jones,NE
M.Mariota,PHI
M.Stafford,LA
M.Trubisky,PIT
M.White,MIA
M.Willis,TEN
N.Mullens,MIN
N.Peterman,CHI
N.Sudfeld,DET
P.Mahomes,KC
P.Walker,CHI
R.Tannehill,TEN
R.Wilson,DEN
S.Darnold,SF
S.Ehlinger,IND
S.Howell,WAS
S.Thompson,MIA
T.Boyle,NYJ
T.Heinicke,ATL
T.Huntley,BAL
T.Lance,SF
T.Lawrence,JAX
T.McSorley,NE
T.Siemian,CIN
T.Tagovailoa,MIA
T.Taylor,NYG
Z.Wilson,NYJ
